City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Mataura,NZ,73.92,overcast clouds,-46.1927,168.8643,Ellie's Villa
3,Ugoofaaru,MV,80.6,overcast clouds,5.6667,73.0,Ungoofaaru Inn
4,Sao Joao Da Barra,BR,71.76,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
8,Atuona,PF,77.77,light rain,-9.8,-139.0333,Villa Enata
13,Vaini,TO,82.56,moderate rain,-21.2,-175.2,Keleti Beach Resort
16,Nioro,GM,75.09,scattered clouds,13.35,-15.75,
20,San Patricio,US,73.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
24,Razole,IN,77.29,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
30,Rikitea,PF,74.8,light rain,-23.1203,-134.9692,People ThankYou
32,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
34,Butaritari,KI,82.33,broken clouds,3.0707,172.7902,Isles Sunset Lodge
38,Lazaro Cardenas,MX,79.21,clear sky,17.9583,-102.2,quinta antigua
40,Samarai,PG,85.6,few clouds,-10.6167,150.6667,Nuli Sapi
41,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
47,Quelimane,MZ,76.95,clear sky,-17.8786,36.8883,Hotel Flamingo
48,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
55,Camacari,BR,78.57,overcast clouds,-12.6975,-38.3242,Hotel Cambuci
56,Saint-Philippe,RE,74.75,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
58,Tabou,CI,78.13,light rain,4.423,-7.3528,hotêl doufoulougou
61,Saint-Pierre,RE,74.84,clear sky,-21.3393,55.4781,Lindsey Hôtel
63,Neiafu,TO,83.08,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
64,Tena,EC,70.2,light rain,-0.9833,-77.8167,Hostal Tena Ñaui
69,Meulaboh,ID,78.94,overcast clouds,4.1363,96.1285,Kost Pria
74,Acapulco,MX,79.2,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
79,Carauari,BR,74.19,overcast clouds,-4.8828,-66.8958,Hotel Fellip
80,Honiara,SB,89.42,broken clouds,-9.4333,159.95,Heritage Park Hotel
83,Mana,GF,77.61,broken clouds,5.6592,-53.7767,LE SAMANA
86,Fomboni,KM,80.76,few clouds,-12.28,43.7425,Auberge les abou
87,Port Blair,IN,83.43,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
88,Arraial Do Cabo,BR,71.56,light rain,-22.9661,-42.0278,Pousada Porto Praia
94,Pochutla,MX,78.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
95,Xai-Xai,MZ,74.08,broken clouds,-25.0519,33.6442,Complexo da Familia
96,Iralaya,HN,78.71,scattered clouds,15.0,-83.2333,Iglesia morava renovada
99,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
105,Filingue,NE,83.39,few clouds,14.3521,3.3168,
106,Bolgatanga,GH,80.64,clear sky,10.7856,-0.8514,Mama's Place
112,Mandapam,IN,75.94,overcast clouds,9.2833,79.1167,Tanvi Chachaa Chalet
114,Anaco,VE,74.57,overcast clouds,9.4389,-64.4728,SAIVEN MALL (SAIVEN C.A.)
116,Faanui,PF,79.12,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Thinadhoo,MV,83.19,scattered clouds,0.5333,72.9333,
119,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
120,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
121,Beira,MZ,77.09,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
129,Karratha,AU,78.24,clear sky,-20.7377,116.8463,ibis Styles Karratha
130,Teahupoo,PF,76.96,light rain,-17.8333,-149.2667,Vanira Lodge
132,Carnarvon,AU,71.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
134,Pyapon,MM,81.12,broken clouds,16.2833,95.6833,Aung Naing Thu Motel
137,Airai,TL,75.99,broken clouds,-8.9266,125.4092,Juvinal Martin
140,Hilo,US,82.27,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
141,Agadez,NE,73.22,overcast clouds,19.75,10.25,
144,Buenos Aires,AR,70.99,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
147,Cururupu,BR,76.41,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
154,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
159,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
160,Beloha,MG,71.46,broken clouds,-25.1667,45.05,
163,Ilheus,BR,73.67,overcast clouds,-14.7889,-39.0494,Barravento Hotel
164,Namatanai,PG,85.89,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
165,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
170,Isla Aguada,MX,77.68,clear sky,18.7833,-91.4667,Freedom Shores
174,Sur,OM,76.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
176,Kavieng,PG,85.59,light rain,-2.5744,150.7967,Nusa Island Retreat
181,Niono,ML,81.91,broken clouds,14.2526,-5.993,Hôtel Campement
187,Nhulunbuy,AU,92.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
188,Caravelas,BR,74.57,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
191,Masuguru,TZ,73.65,few clouds,-11.3667,38.4167,
196,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
203,Takoradi,GH,78.35,light rain,4.8845,-1.7554,Raybow International Hotel
207,Los Banos,PH,88.81,overcast clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
208,Eydhafushi,MV,81.72,overcast clouds,5.1033,73.0708,Soneva Fushi
210,Raga,SS,75.94,overcast clouds,8.4596,25.678,
216,Saint-Louis,SN,80.15,overcast clouds,16.3333,-15.0,
219,Gat,IL,71.91,clear sky,31.61,34.7642,OlusHome
220,Mount Isa,AU,87.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
224,Grand-Santi,GF,72.14,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
225,Popondetta,PG,93.58,few clouds,-8.7537,148.2534,Timos Transit House
227,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
229,Lagos,NG,77.32,light rain,6.5833,3.75,
232,Nueva Loja,EC,73.72,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
244,Bilma,NE,73.78,clear sky,18.6853,12.9164,Expeditions Ténére voyages
248,Bien Hoa,VN,84.18,scattered clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
249,Vanimo,PG,85.46,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
251,Isangel,VU,84.31,light rain,-19.55,169.2667,Tanna Lodge
252,Narrabri,AU,86.09,broken clouds,-30.3167,149.7833,Crossroads Hotel
253,Dicabisagan,PH,85.62,light rain,17.0818,122.4157,Nancy Montanes Bernardo
254,Sibolga,ID,82.56,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
255,Grand Baie,MU,75.67,few clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
257,Kavaratti,IN,81.28,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
258,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
259,Mucuri,BR,75.6,overcast clouds,-18.0864,-39.5508,La Bodeguita Pousada
261,Labuhan,ID,89.44,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
262,Balsas,BR,78.39,overcast clouds,-7.5325,-46.0356,Novo Hotel
263,Hithadhoo,MV,83.17,overcast clouds,-0.6,73.0833,Scoop Guest House
265,Muana,BR,77.85,broken clouds,-1.5283,-49.2167,Pousada Bella do Marajó
267,Ialibu,PG,75.25,scattered clouds,-6.2821,143.9935,Eastwood Guesthouse
268,Manoel Urbano,BR,73.74,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
269,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
271,Sao Filipe,CV,76.75,overcast clouds,14.8961,-24.4956,Hotel Xaguate
277,Crateus,BR,81.48,overcast clouds,-5.1783,-40.6775,Orient Plaza Hotel
279,Mulege,MX,73.85,overcast clouds,26.8833,-111.9833,Casa Granada
281,Grand-Bourg,GP,75.15,clear sky,15.8835,-61.3148,Coco Beach Resort
282,Kailua,US,82.38,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
283,Kidal,ML,77.02,broken clouds,18.4411,1.4078,
285,Srivardhan,IN,75.43,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
288,Phuket,TH,87.1,few clouds,8.0,98.25,The Surin
292,Tharad,IN,77.7,few clouds,24.3961,71.6267,Shree Nandan Couriyar Service
293,Songkhla,TH,84.25,overcast clouds,6.8333,100.6667,น.ส ซัลมา สาแม็ง
294,Paragominas,BR,72.57,light rain,-2.9667,-47.4833,INOVA
297,Bathurst,AU,75.96,scattered clouds,-33.4166,149.5806,Bathurst Motor Inn
299,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
305,Tete,MZ,86.09,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
306,Jimenez,MX,72.23,overcast clouds,28.3333,-105.4,El torreon
307,Alta Floresta,BR,70.77,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
317,Grand Gaube,MU,75.6,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
320,Mbour,SN,76.05,overcast clouds,14.422,-16.9638,Tama Lodge
