City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Mataura,NZ,-46.1927,168.8643,73.92,36,100,4.09,overcast clouds
1,Peniche,PT,39.3558,-9.3811,61.61,94,96,6.8,overcast clouds
2,Nikolskoye,RU,59.7035,30.7861,28.02,82,11,6.62,few clouds
3,Ugoofaaru,MV,5.6667,73.0,80.6,81,99,11.48,overcast clouds
4,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.76,80,100,4.21,overcast clouds
5,Busselton,AU,-33.65,115.3333,65.05,46,58,14.34,broken clouds
6,Ushuaia,AR,-54.8,-68.3,46.06,71,20,3.44,few clouds
7,Bluff,NZ,-46.6,168.3333,62.28,63,100,6.44,overcast clouds
8,Atuona,PF,-9.8,-139.0333,77.77,79,15,16.91,light rain
9,Qaanaaq,GL,77.484,-69.3632,3.15,57,0,9.62,clear sky
10,Mar Del Plata,AR,-38.0023,-57.5575,58.08,93,20,1.01,few clouds
11,Lebanon,US,36.2081,-86.2911,57.45,81,90,0.0,mist
12,Albany,US,42.6001,-73.9662,47.01,85,0,2.73,clear sky
13,Vaini,TO,-21.2,-175.2,82.56,89,75,9.22,moderate rain
14,Talnakh,RU,69.4865,88.3972,2.08,97,100,8.46,light snow
15,Pechora,RU,65.1472,57.2244,14.65,97,60,1.59,broken clouds
16,Nioro,GM,13.35,-15.75,75.09,55,25,4.56,scattered clouds
17,Montepuez,MZ,-13.1256,38.9997,67.75,98,30,3.42,scattered clouds
18,Hermanus,ZA,-34.4187,19.2345,56.89,76,4,6.46,clear sky
19,Puerto Ayora,EC,-0.7393,-90.3518,68.88,83,21,7.83,few clouds
20,San Patricio,US,28.017,-97.5169,73.83,70,9,7.87,clear sky
21,Saldanha,ZA,-33.0117,17.9442,48.25,78,3,5.46,clear sky
22,Bredasdorp,ZA,-34.5322,20.0403,54.72,76,5,5.75,clear sky
23,Nome,US,64.5011,-165.4064,19.47,73,90,3.44,overcast clouds
24,Razole,IN,16.4833,81.8333,77.29,76,100,5.08,overcast clouds
25,Havelock,US,34.8791,-76.9013,57.02,82,1,0.0,clear sky
26,Kosonsoy,UZ,41.2561,71.5508,30.76,45,100,2.57,overcast clouds
27,Cape Town,ZA,-33.9258,18.4232,57.11,85,20,2.3,few clouds
28,Punta Arenas,CL,-53.15,-70.9167,48.31,57,0,6.91,clear sky
29,Kaitangata,NZ,-46.2817,169.8464,64.92,66,100,6.58,overcast clouds
30,Rikitea,PF,-23.1203,-134.9692,74.8,79,91,14.74,light rain
31,Hobart,AU,-42.8794,147.3294,66.11,61,75,1.01,broken clouds
32,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,8.05,light rain
33,Oranjemund,NA,-28.55,16.4333,57.56,70,77,15.1,broken clouds
34,Butaritari,KI,3.0707,172.7902,82.33,75,71,16.58,broken clouds
35,New Norfolk,AU,-42.7826,147.0587,65.75,44,97,1.99,overcast clouds
36,Tiksi,RU,71.6872,128.8694,19.65,79,100,19.8,overcast clouds
37,Yellowknife,CA,62.456,-114.3525,16.29,95,20,5.75,few clouds
38,Lazaro Cardenas,MX,17.9583,-102.2,79.21,83,1,3.18,clear sky
39,Oga,IT,46.4631,10.347,29.08,52,16,1.01,few clouds
40,Samarai,PG,-10.6167,150.6667,85.6,71,15,14.54,few clouds
41,Kapaa,US,22.0752,-159.319,82.38,72,40,1.99,scattered clouds
42,Lavrentiya,RU,65.5833,-171.0,9.48,84,73,6.17,broken clouds
43,Castro,BR,-24.7911,-50.0119,57.27,97,12,3.96,few clouds
44,Dikson,RU,73.5069,80.5464,3.07,96,95,6.49,overcast clouds
45,Mahajanga,MG,-15.7167,46.3167,75.22,88,20,4.61,few clouds
46,Lubyany,RU,56.0378,51.4,42.44,86,100,15.12,moderate rain
47,Quelimane,MZ,-17.8786,36.8883,76.95,83,0,3.44,clear sky
48,Avarua,CK,-21.2078,-159.775,78.85,69,75,14.97,broken clouds
49,Guerrero Negro,MX,27.9769,-114.0611,64.22,82,56,8.57,broken clouds
50,Jumla,NP,29.2747,82.1838,48.49,28,0,3.71,clear sky
51,Klaksvik,FO,62.2266,-6.589,45.52,73,9,33.24,clear sky
52,Khatanga,RU,71.9667,102.5,-3.14,98,95,6.08,overcast clouds
53,Seoul,KR,37.5683,126.9778,45.91,90,90,4.61,light rain
54,Olafsvik,IS,64.8945,-23.7142,40.91,91,100,13.51,overcast clouds
55,Camacari,BR,-12.6975,-38.3242,78.57,95,94,3.27,overcast clouds
56,Saint-Philippe,RE,-21.3585,55.7679,74.75,82,28,8.21,scattered clouds
57,Yerbogachen,RU,61.2767,108.0108,26.62,88,100,15.9,overcast clouds
58,Tabou,CI,4.423,-7.3528,78.13,89,68,5.03,light rain
59,Fort Nelson,CA,58.8053,-122.7002,18.99,100,90,3.44,light snow
60,Lerwick,GB,60.1545,-1.1494,51.8,83,96,25.84,overcast clouds
61,Saint-Pierre,RE,-21.3393,55.4781,74.84,68,0,5.75,clear sky
62,Chuy,UY,-33.6971,-53.4616,56.43,83,0,4.7,clear sky
63,Neiafu,TO,-18.65,-173.9833,83.08,78,40,9.22,light rain
64,Tena,EC,-0.9833,-77.8167,70.2,98,23,3.62,light rain
65,Ponta Do Sol,PT,32.6667,-17.1,66.83,73,47,3.31,scattered clouds
66,Barrow,US,71.2906,-156.7887,23.02,80,90,11.5,overcast clouds
67,Port Alfred,ZA,-33.5906,26.891,59.38,83,98,17.29,overcast clouds
68,Luderitz,NA,-26.6481,15.1594,58.46,68,74,15.79,broken clouds
69,Meulaboh,ID,4.1363,96.1285,78.94,81,100,2.06,overcast clouds
