City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2021-11-08 18:00:26,-33.65,115.3333,53.1,73,97,16.35
1,Vila Velha,BR,2021-11-08 18:00:27,-20.3297,-40.2925,75.94,85,81,1.99
2,Ushuaia,AR,2021-11-08 18:00:27,-54.8,-68.3,50.2,67,87,6.6
3,Ostuacan,MX,2021-11-08 18:00:28,17.4167,-93.3,74.86,65,25,6.17
4,Bluff,NZ,2021-11-08 18:00:28,-46.6,168.3333,55.8,84,98,3.49
5,Punta Arenas,CL,2021-11-08 18:00:23,-53.15,-70.9167,53.11,46,98,14.5
6,Hermanus,ZA,2021-11-08 18:00:29,-34.4187,19.2345,61.9,69,13,5.93
7,New Norfolk,AU,2021-11-08 18:00:29,-42.7826,147.0587,49.5,72,30,1.99
8,Rawson,AR,2021-11-08 18:00:30,-43.3002,-65.1023,60.17,61,78,17.18
9,Mopipi,BW,2021-11-08 18:00:30,-21.1833,24.8833,87.1,30,93,11.12
10,Pasaje,EC,2021-11-08 18:00:31,-3.3333,-79.8167,79.21,73,99,6.22
11,East London,ZA,2021-11-08 18:00:31,-33.0153,27.9116,62.38,91,100,14.0
12,Jaisalmer,IN,2021-11-08 17:59:13,26.9147,70.9181,79.29,19,2,6.42
13,Katangli,RU,2021-11-08 18:00:32,51.7102,143.2326,26.31,76,88,7.85
14,Caravelas,BR,2021-11-08 18:00:32,-17.7125,-39.2481,80.92,62,79,8.84
15,Oudtshoorn,ZA,2021-11-08 18:00:32,-33.5907,22.2014,56.32,78,95,0.92
16,Clyde River,CA,2021-11-08 18:00:33,70.4692,-68.5914,8.87,83,57,10.78
17,Severo-Kurilsk,RU,2021-11-08 18:00:34,50.6789,156.125,36.34,64,96,22.7
18,Srednekolymsk,RU,2021-11-08 18:00:34,67.45,153.6833,-9.67,100,95,5.57
19,Rikitea,PF,2021-11-08 18:00:34,-23.1203,-134.9692,74.23,81,100,12.91
20,Gunjur,GM,2021-11-08 18:00:35,13.2019,-16.7339,82.74,59,24,14.18
21,Ancud,CL,2021-11-08 18:00:35,-41.8697,-73.8203,66.42,69,65,8.16
22,Mataura,NZ,2021-11-08 18:00:36,-46.1927,168.8643,55.47,85,99,1.48
23,Hilo,US,2021-11-08 17:56:33,19.7297,-155.09,75.61,86,29,1.01
24,Angoram,PG,2021-11-08 18:00:36,-4.0625,144.0661,73.06,99,93,2.42
25,Ambilobe,MG,2021-11-08 18:00:37,-13.2,49.05,78.82,76,49,3.15
26,Sao Filipe,CV,2021-11-08 18:00:37,14.8961,-24.4956,78.46,74,99,8.7
27,Pundaguitan,PH,2021-11-08 18:00:37,6.3711,126.1689,80.19,85,100,14.09
28,Cape Town,ZA,2021-11-08 17:57:04,-33.9258,18.4232,64.81,63,20,1.99
29,Luohe,CN,2021-11-08 18:00:19,33.5717,114.0353,42.37,39,5,11.16
30,Alofi,NU,2021-11-08 18:00:38,-19.0595,-169.9187,77.59,80,100,21.18
31,Saint George,US,2021-11-08 17:56:14,37.1041,-113.5841,70.27,35,100,1.01
32,Khandyga,RU,2021-11-08 18:00:39,62.6667,135.6,6.21,96,100,5.28
33,Carnarvon,AU,2021-11-08 17:57:29,-24.8667,113.6333,66.27,68,25,16.11
34,Inhambane,MZ,2021-11-08 18:00:40,-23.865,35.3833,78.78,89,20,13.8
35,Kirakira,SB,2021-11-08 18:00:40,-10.4544,161.9205,79.72,83,14,7.49
36,Lagoa,PT,2021-11-08 18:00:40,39.05,-27.9833,62.62,91,100,3.58
37,Jamestown,US,2021-11-08 17:56:45,42.097,-79.2353,64.33,57,0,10.22
38,Thompson,CA,2021-11-08 18:00:41,55.7435,-97.8558,30.36,100,75,6.91
39,Albany,US,2021-11-08 17:55:53,42.6001,-73.9662,63.09,59,2,1.01
40,Luderitz,NA,2021-11-08 18:00:42,-26.6481,15.1594,62.49,67,24,29.19
41,Hervey Bay,AU,2021-11-08 18:00:42,-25.2986,152.8535,76.03,92,76,12.64
42,Kholm,RU,2021-11-08 18:00:43,59.2667,32.85,30.72,70,100,13.56
43,Bukachacha,RU,2021-11-08 18:00:43,52.9833,116.9167,12.33,91,70,3.18
44,Vaini,TO,2021-11-08 18:00:44,-21.2,-175.2,73.98,92,100,19.95
45,Bengkulu,ID,2021-11-08 18:00:44,-3.8004,102.2655,77.2,91,98,9.89
46,Ribeira Grande,PT,2021-11-08 18:00:44,38.5167,-28.7,66.6,88,75,3.44
47,Arraial Do Cabo,BR,2021-11-08 18:00:45,-22.9661,-42.0278,73.31,70,50,8.63
48,Puebloviejo,CO,2021-11-08 18:00:45,10.9938,-74.2844,88.48,68,100,5.57
49,Mutoko,ZW,2021-11-08 18:00:46,-17.397,32.2268,75.29,23,5,6.08
50,Palmares Do Sul,BR,2021-11-08 18:00:46,-30.2578,-50.5097,73.31,52,5,8.95
